"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79","test_change_name_to_invalid[Whitaker Sandra@]","src.main.api.tests","Mon Nov 10 07:27:04 UTC 2025","passed","Mon Nov 10 07:27:04 UTC 2025","TestChangeName","change_name_test","",""
"","288","test_login_admin[chromium]","src.main.ui.tests","Mon Nov 10 07:27:23 UTC 2025","passed","Mon Nov 10 07:27:23 UTC 2025","TestLoginUser","login_user_ui_test","",""
"","1074","test_user_can_not_transfer_money_with_invalid_form[chromium-args1-The recipient name does not match the registered name-True]","src.main.ui.tests","Mon Nov 10 07:27:31 UTC 2025","passed","Mon Nov 10 07:27:32 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","318","test_transfer_money_to_another_user[0.24677194037527916]","src.main.api.tests","Mon Nov 10 07:27:10 UTC 2025","passed","Mon Nov 10 07:27:10 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","157","test_transfer_without_access_to_account","src.main.api.tests","Mon Nov 10 07:27:13 UTC 2025","passed","Mon Nov 10 07:27:13 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","185","test_change_name","src.main.api.tests","Mon Nov 10 07:27:03 UTC 2025","passed","Mon Nov 10 07:27:03 UTC 2025","TestChangeName","change_name_test","",""
"","654","test_user_can_not_change_name_to_invalid[chromium]","src.main.ui.tests","Mon Nov 10 07:27:17 UTC 2025","passed","Mon Nov 10 07:27:18 UTC 2025","TestChangeName","change_name_ui_test","",""
"","156","test_deposit_money[5000.0]","src.main.api.tests","Mon Nov 10 07:27:06 UTC 2025","passed","Mon Nov 10 07:27:06 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","661","test_deposit_invalid_amount[chromium--100-Please enter a valid amount]","src.main.ui.tests","Mon Nov 10 07:27:21 UTC 2025","passed","Mon Nov 10 07:27:22 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","637","test_admin_can_create_user[chromium]","src.main.ui.tests","Mon Nov 10 07:27:19 UTC 2025","passed","Mon Nov 10 07:27:19 UTC 2025","TestCreateUser","create_user_ui_test","",""
"","81","test_change_name_to_invalid[rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr]","src.main.api.tests","Mon Nov 10 07:27:05 UTC 2025","passed","Mon Nov 10 07:27:05 UTC 2025","TestChangeName","change_name_test","",""
"","583","test_deposit_invalid_amount[chromium-5001-Please deposit less or equal to 5000]","src.main.ui.tests","Mon Nov 10 07:27:32 UTC 2025","passed","Mon Nov 10 07:27:33 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","81","test_create_account","src.main.api.tests","Mon Nov 10 07:27:05 UTC 2025","passed","Mon Nov 10 07:27:05 UTC 2025","TestCreateAccount","create_account_test","",""
"","386","test_deposit_money_to_another_user_account","src.main.api.tests","Mon Nov 10 07:27:07 UTC 2025","passed","Mon Nov 10 07:27:07 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","154","test_create_valid_user[create_user_request0]","src.main.api.tests","Mon Nov 10 07:27:05 UTC 2025","passed","Mon Nov 10 07:27:05 UTC 2025","TestCreateUser","create_user_test","",""
"","315","test_transfer_to_own_account","src.main.api.tests","Mon Nov 10 07:27:12 UTC 2025","passed","Mon Nov 10 07:27:13 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","791","test_deposit_money_page[chromium-100]","src.main.ui.tests","Mon Nov 10 07:27:20 UTC 2025","passed","Mon Nov 10 07:27:21 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","160","test_transfer_money_beyond_balance","src.main.api.tests","Mon Nov 10 07:27:12 UTC 2025","passed","Mon Nov 10 07:27:12 UTC 2025","TestTransferMoney","test_transfer_money","",""
"","642","test_deposit_invalid_amount[chromium-None-Please enter a valid amount]","src.main.ui.tests","Mon Nov 10 07:27:29 UTC 2025","passed","Mon Nov 10 07:27:30 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","465","test_admin_can_not_create_user_with_invalid_data[chromium]","src.main.ui.tests","Mon Nov 10 07:27:19 UTC 2025","passed","Mon Nov 10 07:27:20 UTC 2025","TestCreateUser","create_user_ui_test","",""
"","885","test_user_can_not_transfer_money_with_invalid_form[chromium-args0-Please fill all fields and confirm-False]","src.main.ui.tests","Mon Nov 10 07:27:27 UTC 2025","passed","Mon Nov 10 07:27:28 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","79","test_change_name_to_invalid[Wilson Sarah Jennifer]","src.main.api.tests","Mon Nov 10 07:27:04 UTC 2025","passed","Mon Nov 10 07:27:04 UTC 2025","TestChangeName","change_name_test","",""
"","1159","test_user_can_not_transfer_money_with_invalid_form[chromium-args4-Error: Invalid transfer: insufficient funds or invalid accounts-True]","src.main.ui.tests","Mon Nov 10 07:27:37 UTC 2025","passed","Mon Nov 10 07:27:39 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","82","test_login_user","src.main.api.tests","Mon Nov 10 07:27:09 UTC 2025","passed","Mon Nov 10 07:27:09 UTC 2025","TestLoginUser","login_user_test","",""
"","80","test_change_name_to_invalid[]","src.main.api.tests","Mon Nov 10 07:27:03 UTC 2025","passed","Mon Nov 10 07:27:03 UTC 2025","TestChangeName","change_name_test","",""
"","995","test_user_can_not_transfer_money_with_invalid_form[chromium-args5-Please fill all fields and confirm-False]","src.main.ui.tests","Mon Nov 10 07:27:40 UTC 2025","passed","Mon Nov 10 07:27:41 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","1010","test_user_can_not_transfer_money_with_invalid_form[chromium-args3-Please fill all fields and confirm-False]","src.main.ui.tests","Mon Nov 10 07:27:36 UTC 2025","passed","Mon Nov 10 07:27:37 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","80","test_create_invalid_user[ab-qZL1f2#kW9-USER-username-Username must be between 3 and 15 characters]","src.main.api.tests","Mon Nov 10 07:27:05 UTC 2025","passed","Mon Nov 10 07:27:05 UTC 2025","TestCreateUser","create_user_test","",""
"","465","test_user_can_create_account[chromium]","src.main.ui.tests","Mon Nov 10 07:27:18 UTC 2025","passed","Mon Nov 10 07:27:18 UTC 2025","TestCreateAccount","create_account_ui_test","",""
"","390","test_deposit_no_account[chromium]","src.main.ui.tests","Mon Nov 10 07:27:22 UTC 2025","passed","Mon Nov 10 07:27:23 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","162","test_deposit_invalid_amount[0]","src.main.api.tests","Mon Nov 10 07:27:08 UTC 2025","passed","Mon Nov 10 07:27:08 UTC 2025","TestDepositMoney","deposit_money_test","",""
"","1118","test_user_can_not_transfer_money_with_invalid_form[chromium-args2-Please fill all fields and confirm-False]","src.main.ui.tests","Mon Nov 10 07:27:34 UTC 2025","passed","Mon Nov 10 07:27:35 UTC 2025","TestTransferMoney","transfer_money_ui_test","",""
"","317","test_login_user[chromium]","src.main.ui.tests","Mon Nov 10 07:27:23 UTC 2025","passed","Mon Nov 10 07:27:24 UTC 2025","TestLoginUser","login_user_ui_test","",""
"","688","test_deposit_money_page[chromium-100.01]","src.main.ui.tests","Mon Nov 10 07:27:28 UTC 2025","passed","Mon Nov 10 07:27:29 UTC 2025","TestDepositMoney","deposit_money_ui_test","",""
"","753","test_user_can_change_name[chromium]","src.main.ui.tests","Mon Nov 10 07:27:16 UTC 2025","passed","Mon Nov 10 07:27:17 UTC 2025","TestChangeName","change_name_ui_test","",""
"","79","test_create_invalid_user[ababababababababababababab-642PupbX&V-USER-username-Username must be between 3 and 15 characters]","src.main.api.tests","Mon Nov 10 07:27:05 UTC 2025","passed","Mon Nov 10 07:27:05 UTC 2025","TestCreateUser","create_user_test","",""
"","79","test_create_invalid_user[@ababab-Tk0cM7Dp6&-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]","src.main.api.tests","Mon Nov 10 07:27:06 UTC 2025","passed","Mon Nov 10 07:27:06 UTC 2025","TestCreateUser","create_user_test","",""
"","79","test_change_name_to_invalid[Kelly]","src.main.api.tests","Mon Nov 10 07:27:03 UTC 2025","passed","Mon Nov 10 07:27:03 UTC 2025","TestChangeName","change_name_test","",""
